gene,p-value,parental difference (B6-DBA)
Caprin1,0.025289107,0.339
Affy_10485536,0.060468119,-0.444
4931422A03Rik,0.34003272,-0.151
D430041D05Rik,0.60876226,-0.115
D430041D05Rik,0.69362817,-0.083
Hipk3,0.33882004,-0.156
Cstf3,0.93350552,-0.037
Tcp11l1,0.71765885,-0.12
Pin1l,0.97660061,-0.007
Depdc7,0.45802491,0.181
Qser1,0.61053251,0.081
Qser1,0.79924807,0.046
Prrg4,0.69568973,0.097
Gm10796,0.82932067,-0.081
Eif3m,0.3897756,0.301
Gm13888,0.27039667,0.164
AI314831,0.341251,-0.201
Rcn1,0.03454692,0.415
Rpl10,0.27823165,-0.144
Elp4,0.3480664,0.212
Dnajc24,0.49319894,-0.157
2700007P21Rik,0.75331894,0.082
Fshb,0.62117914,-0.122
Rpl35a,0.84976621,0.035
Mett5d1,0.62731657,0.114
Gm13939,0.17523787,-0.245
Gm13937,0.4159807,0.267
Bbox1,0.71106654,-0.074
Fibin,0.58136837,-0.107
Affy_10485716,0.1083411,0.362
Ano3,0.20480069,-0.181
Ano3,0.94045852,-0.011
4930430A15Rik,0.89301261,0.017
Olfr1275,0.040064573,0.375
Olfr1277,0.23343492,-0.201
Olfr1282,0.034416694,0.405
Olfr1286,0.44188719,0.118
Olfr1290,0.090089937,-0.397
Affy_10485775,0.91028763,-0.023
Olfr1294,0.79885136,-0.05
Olfr1295,0.21223946,-0.141
Olfr1296-ps1,0.56277852,-0.104
Olfr1297,0.65822311,-0.099
Olfr1298,0.42243094,0.17
Olfr1303,0.1754086,-0.244
Olfr1303,0.36512468,0.299
Olfr1305,0.18655638,-0.282
Olfr1306,0.23517453,-0.217
Olfr1307,0.42359646,-0.217
Olfr1308,0.87554155,0.028
Olfr1309,0.84362099,0.037
Olfr1310,0.37143194,-0.154
Olfr1311,0.81154996,-0.052
Olfr1312,0.031920282,-0.312
Olfr1313,0.1648063,-0.274
Olfr1314,0.51537504,-0.142
Olfr1316,0.41701514,-0.12
Olfr1316,0.65389903,-0.084
Nut,0.29006886,-0.256
Slc12a6,0.055193219,0.447
Tmem85,0.64801122,-0.059
Chrm5,0.32981809,0.207
Ryr3,0.085458968,-0.299
Grem1,0.80089634,-0.05
Scg5,0.30866561,-0.245
Arhgap11a,0.017756093,0.808
Gjd2,0.85032582,0.048
Actc1,0.9128856,0.023
Aqr,0.24458922,0.157
Zfp770,0.22227857,0.207
Atpbd4,0.085854881,0.374
Meis2,0.84598503,-0.043
Rab5b,0.35526696,0.138
Affy_10486059,0.77810762,-0.064
Rasgrp1,0.81341893,0.097
Fsip1,0.64459464,-0.094
A930104D05Rik,0.64641365,-0.115
Gpr176,0.43001625,-0.195
Srp14,0.61139407,-0.111
Bmf,0.97923254,0.007
Plcb2,0.11488503,0.45
C15orf52,0.78512749,-0.071
Ccdc32,0.22677361,0.178
Fam82a2,0.57082631,0.154
Dnajc17,0.21229022,-0.29
Ppp1r14d,0.19802492,-0.271
Rhov,0.93767578,-0.016
Gm14207,0.018575608,-0.48
Ino80,0.80651335,-0.036
Exd1,0.06892499,-0.631
Oip5,0.22724838,0.191
Ltk,0.13336177,-0.298
Ndufaf1,0.81622261,-0.055
Affy_10486290,0.3422473,-0.206
Rpap1,0.70990856,-0.091
6330405D24Rik,0.20049487,-0.233
Gm13998,0.06284294,-0.432
Mapkbp1,0.90824273,0.028
Spnb5,0.28109281,-0.183
Ehd4,0.32365681,0.3
Pla2g4e,0.33755042,-0.205
Pla2g4d,0.25847415,0.148
Pla2g4f,0.66711375,-0.087
Vps39,0.6838399,0.048
Tmem87a,0.86988685,-0.033
Zfp106,0.92701669,0.015
Lrrc57,0.50406489,-0.097
Affy_10486562,0.75800025,-0.067
Cdan1,0.38600229,0.146
Ttbk2,0.24294422,-0.147
Ubr1,0.90624573,0.019
Epb4.2,0.34726914,-0.163
Tgm5,0.32116962,-0.225
Tgm7,0.83294279,-0.043
Lcmt2,0.081678338,0.487
Zscan29,0.56605239,-0.141
Trp53bp1,0.23326346,0.189
Ppip5k1,0.52207022,-0.124
Strc,0.83711582,-0.048
Catsper2,0.14565579,-0.441
Ell3,0.50635046,-0.193
Serinc4,0.7185883,0.086
Mfap1a,0.43091723,-0.205
Mfap1a,0.46909354,-0.193
Frmd5,0.29601889,-0.183
Mageb3,0.43710219,0.152
Spg11,0.36334241,0.173
Patl2,0.34994642,-0.162
Dppa4,0.4052576,-0.196
Duox2,0.66428974,0.07
Duoxa1,0.91490106,-0.024
Shf,0.89707903,-0.023
Gatm,0.60739454,-0.359
Slc30a4,0.81705069,-0.048
Myef2,0.66845898,0.135
Fbn1,0.80019178,-0.084
Cep152,0.17662339,-0.692
Shc4,0.34020763,-0.184
Secisbp2l,0.5147782,0.125
Cops2,0.47254521,-0.126
4930525F21Rik,0.76496585,0.044
Atp8b4,0.5728497,0.156
Hdc,0.13306023,0.568
Gabpb1,0.62789252,-0.084
Polr2l,0.49951716,-0.138
Usp50,0.43807664,-0.446
Trpm7,0.33068411,-0.221
Sppl2a,0.24055713,-0.249
Ncaph,0.44444193,0.164
Itpripl1,0.24944369,0.344
1810024B03Rik,0.21600882,-0.31
Ciao1,0.2271417,0.24
Gm10766,0.081379155,-0.52
Fahd2a,0.33271399,-0.18
Kcnip3,0.14447819,-0.285
Prom2,0.66840382,-0.109
Zfp661,0.10775974,-0.235
Mal,0.41495665,-0.163
Mall,0.69214723,0.075
Nphp1,0.47620903,-0.138
1500011K16Rik,0.47665921,-0.142
Bub1,0.51895556,0.192
Gm14005,0.55953029,0.151
Affy_10487508,0.18697469,-0.313
Affy_10487510,0.85827,0.035
Anapc1,0.92673201,-0.015
Zc3h8,0.37952002,0.266
Gm10762,0.55688627,-0.131
Ckap2l,0.67620246,0.114
Il1a,0.30191704,0.465
Affy_10487595,0.63937766,-0.12
Il1b,0.38659232,0.486
F830045P16Rik,0.15378629,-0.261
Pdyn,0.54155379,-0.172
Gm10183,0.063251009,-0.384
Snrpb,0.93375578,0.017
Idh3b,0.29989284,-0.143
Rpl27a,0.65504811,-0.069
Cpxm1,0.38093416,-0.208
Fam113a,0.88774371,-0.023
Ptpra,0.78529329,-0.063
Avp,0.6107579,-0.122
Fastkd5,0.86882312,-0.022
Prosapip1,0.85352778,0.026
Ddrgk1,0.9568815,0.009
Slc4a11,0.66929553,0.096
4930402H24Rik,0.62652417,0.128
A730017L22Rik,0.29339548,-0.213
Gfra4,0.97259864,0.006
Adam33,0.13221944,-0.329
Siglec1,0.90302512,0.061
1700037H04Rik,0.35132337,-0.25
Spef1,0.88429159,0.029
Cenpb,0.10787008,-0.246
Rnf24,0.84283256,-0.093
Adra1d,0.01661595,-0.946
Erv3,0.42729457,-0.196
Rassf2,0.52929042,0.24
Slc23a2,0.69707611,0.09
Rpl18,0.43024932,-0.125
5730494N06Rik,0.51723305,-0.124
Pcna,0.18027072,0.196
Prokr2,0.95400115,-0.01
Gm10757,0.55288444,-0.145
Gpcpd1,0.46023059,-0.463
Trmt6,0.68592913,-0.053
Lrrn4,0.14259322,-0.34
Fermt1,0.83287028,-0.056
Hao1,0.42419421,-0.216
Tmx4,0.52443254,-0.117
Zfand1,0.19959212,-0.398
Affy_10488031,0.98237571,-0.004
Pak7,0.80527221,-0.041
Affy_10488046,0.26901323,0.218
Mkks,0.84546277,-0.027
Jag1,0.82579686,-0.049
Tasp1,0.10432832,0.425
Gm14072,0.9851607,0.006
Esf1,0.80238039,-0.059
Sel1l2,0.73862867,-0.062
Affy_10488145,0.053972068,0.275
Flrt3,0.77734431,0.05
Gm14105,0.61991175,-0.079
Kif16b,0.75661132,0.065
Bfsp1,0.99225502,-0.002
Rrbp1,0.67969755,-0.078
Hdac9,0.25078157,0.333
Gm5535,0.24247765,-0.325
Snx5,0.11214902,0.268
Affy_10488254,0.87095625,-0.026
Ovol2,0.55893706,-0.103
Calcoco2,0.60601763,-0.096
Dzank1,0.72825712,0.058
Rbbp9,0.27665736,-0.329
Gm14092,0.65759809,0.07
Crnkl1,0.76412144,0.055
Ralgapa2,0.85409613,0.031
Nkx2-4,0.28560789,-0.203
Nkx2-2,0.15675819,-0.264
Gm14115,0.894764,0.039
Foxa2,0.17533796,-0.323
Thbd,0.41485622,0.221
Cd93,0.63729891,0.184
Napb,0.88549812,-0.036
Cst11,0.34509066,0.188
9230104L09Rik,0.32251635,-0.166
Cst3,0.77266338,-0.068
Gm14129,0.48527421,-0.124
Gm1330,0.711347,-0.061
Gm10750,0.24292338,0.348
Affy_10488432,0.66810345,-0.089
C530025M09Rik,0.3444698,-0.247
C530025M09Rik,0.90932436,-0.028
Zfp120,0.18582146,0.308
Affy_10488449,0.89782369,0.055
3300002I08Rik,0.59955786,-0.114
Gm14122,0.63281388,0.135
Zfp442,0.2160113,0.344
Zfp345,0.80701094,0.055
Btbd1,0.59507139,-0.078
2310001A20Rik,0.21150513,0.265
Acss1,0.70166843,0.087
Vsx1,0.21324276,-0.302
Abhd12,0.47523901,0.158
Ninl,0.58713092,-0.104
Nanp,0.70386979,0.067
4921509C19Rik,0.92083112,-0.033
Snph,0.2668536,-0.207
Gm14160,0.51300424,-0.141
Gm14160,0.50386939,-0.147
Psmf1,0.93363929,-0.015
4930556L07Rik,0.71264957,-0.091
Fam110a,0.46636699,0.116
Rbck1,0.8855047,-0.02
Trib3,0.34355406,-0.247
Nrsn2,0.52152929,-0.11
Sox12,0.24595856,-0.302
Zcchc3,0.65571622,-0.104
Defb23,0.073644023,-0.446
Defb22,0.073872443,-0.396
Defb26,0.58149621,0.127
Defb29,0.27492006,-0.206
Defb19,0.26677388,-0.222
Defb45,0.22229979,-0.222
Defb25,0.14763984,-0.298
Bcl2l1,0.90928476,0.019
Foxs1,0.89277349,-0.029
Dusp15,0.55628873,-0.098
Pdrg1,0.053434627,1.072
Tspyl3,0.36283337,0.225
Plagl2,0.018309074,0.424
8430427H17Rik,0.64901074,-0.101
Commd7,0.18469118,0.559
Sun5,0.9227677,-0.019
Cdk5rap1,0.65745693,0.388
Snta1,0.93775651,-0.014
Necab3,0.061154221,-0.344
E2f1,0.93930743,-0.017
Pxmp4,0.80545185,0.049
4930519P11Rik,0.4246047,0.187
Gm14214,0.94892179,-0.03
Eif2s2,0.7746731,-0.07
Ahcy,0.67703391,-0.098
Pigu,0.03863535,-0.406
Ncoa6,0.68981827,0.076
Affy_10488860,0.13415993,0.262
Ggt7,0.22606781,-0.241
Gss,0.93506374,0.02
Trpc4ap,0.76900188,-0.034
Edem2,0.86796425,0.034
Mmp24,0.41403419,0.169
Eif6,0.86376531,-0.036
Fam83c,0.21155082,-0.279
Uqcc,0.60743772,0.097
Gdf5,0.52493478,-0.122
6430550D23Rik,0.64432771,0.102
Fer1l4,0.052363198,-0.472
Fer1l4,0.11500933,-0.294
Cpne1,0.29210714,0.151
Nfs1,0.54230536,-0.078
Rbm39,0.72604393,-0.052
Scand1,0.87007996,-0.034
Pdcd10,0.4473688,0.189
2900097C17Rik,0.96261255,0.007
Rpl37a,0.57836958,0.081
Rpl9,0.21711847,-0.166
5730471H19Rik,0.55063896,-0.148
4930518I15Rik,0.68306041,0.12
Sla2,0.83279068,-0.044
Ndrg3,0.048453436,-0.476
Dsn1,0.35615814,-0.241
9830001H06Rik,0.50551053,-0.164
Samhd1,0.89304134,0.056
Rbl1,0.57921416,-0.149
4922505G16Rik,0.58326232,0.124
Ghrh,0.28602135,-0.23
Rpl35a,0.7189151,0.07
Blcap,0.62732064,-0.076
Tti1,0.022542378,0.334
Tgm2,0.50644261,0.246
D630003M21Rik,0.16134748,-0.444
9430008C03Rik,0.41640218,0.205
9430008C03Rik,0.85459656,-0.05
9430008C03Rik,0.63158112,0.12
Gm826,0.3633595,-0.251
Mafb,0.4846582,-0.32
Zhx3,0.84867237,-0.029
Emilin3,0.93257234,0.023
Chd6,0.59766515,0.086
Affy_10489299,0.89557914,-0.052
Rpl29,0.27427211,-0.223
Ptprt,0.79497939,0.039
Affy_10489341,0.69143111,-0.078
Ptpla,0.49619904,-0.189
Gm11453,0.1373815,-0.364
Gtsf1l,0.96622002,-0.008
Jph2,0.082727509,-0.379
Jph2,0.36605363,-0.136
3230401D17Rik,0.77946196,0.056
Fitm2,0.49110133,0.192
0610008F07Rik,0.071525847,0.637
Serinc3,0.20936303,-0.254
Ada,0.88857618,0.037
Rims4,0.84273511,0.044
Tomm34,0.16051934,0.366
Kcns1,0.2254414,-0.267
Wfdc5,0.65983537,0.107
Wfdc12,0.056403609,-0.352
Wfdc15a,0.56871898,-0.148
Wfdc15b,0.002750214,-1.467
Semg1,0.30641127,-0.295
Svs3b,0.56215766,-0.159
Svs4,0.42235315,-0.147
Slpi,0.99495221,-0.002
Matn4,0.58698939,0.104
Sdc4,0.14607896,-0.406
Trp53tg5,0.77951016,-0.066
Dbndd2,0.14204965,-0.446
Spint3,0.65612596,0.102
Wfdc6a,0.67766015,-0.165
Spinlw1,0.25172503,-0.328
Wfdc8,0.32081067,-0.207
Wfdc16,0.2990741,-0.224
Wfdc9,0.734284,-0.07
Wfdc11,0.27004624,-0.222
Wfdc3,0.07923643,-0.371
Wfdc3,0.2541763,-0.239
Tnnc2,0.64337993,-0.094
Acot8,0.33665812,0.185
1700020C07Rik,0.48526738,0.157
Neurl2,0.74073461,0.07
Pltp,0.13369191,1.265
Pcif1,0.73868311,-0.063
Zfp335,0.12542965,0.21
Ncoa5,0.023939616,0.35
Cdh22,0.29664562,-0.16
Slc35c2,0.002587489,-0.381
Elmo2,0.971377,0.006
Zfp663,0.55656078,0.117
Zfp334,0.85699752,-0.034
4833422F24Rik,0.66689866,0.102
Slc13a3,0.97858194,-0.016
2810408M09Rik,0.26116175,-0.283
LOC280487,0.17746195,2.12
Zmynd8,0.58150077,0.102
Sulf2,0.98535275,-0.009
Affy_10489782,0.27082855,0.262
Prex1,0.58986104,-0.108
Affy_10489829,0.29963028,0.28
Stau1,0.99460426,0.001
Znfx1,0.42284402,0.18
Gm11472,0.74921539,0.115
Kcnb1,0.88025914,-0.029
Ptgis,0.86186946,-0.026
B4galt5,0.56326242,-0.222
Spata2,0.1167781,-0.322
Ube2v1,0.78165856,0.124
Tmem189,0.61390959,0.168
Fam65c,0.6337775,-0.081
Adnp,0.52397683,-0.095
Dpm1,0.54170102,-0.096
Kcng1,0.55873904,-0.125
Nfatc2,0.30396086,-0.186
Gm10724,0.20124724,-0.331
Atp9a,0.31714577,-0.36
Sall4,0.54300584,-0.142
Zfp64,0.56049308,-0.084
Affy_10490045,0.092077417,-0.348
AY702102,0.18781942,-0.403
Zfp217,0.77003037,-0.063
Bcas1,0.76484663,-0.059
Sumo1,0.26972902,0.302
Cyp24a1,0.32435116,-0.267
4930470P17Rik,0.41351702,0.185
Cbln4,0.053857307,-0.302
Aurka,0.42077583,0.143
Cass4,0.38546558,-0.206
Gcnt7,0.31361023,-0.246
Rps29,0.37753708,0.153
Bmp7,0.049065326,-0.651
Ctcfl,0.94216494,0.015
Zbp1,0.68055852,0.254
Pmepa1,0.77792196,0.083
Ankrd60,0.73431712,-0.072
Ppp4r1l-ps,0.68896112,-0.056
Affy_10490192,0.38671133,-0.185
Gm10714,0.59424444,-0.114
mir-296,0.27970856,-0.273
Mir298,0.87526917,-0.042
Gnas,0.039941206,0.681
Ctsz,0.098483427,-0.389
Atp5e,0.38695152,0.145
Slmo2,0.44626294,-0.085
Affy_10490232,0.076298889,0.346
Gm2049,0.88147887,-0.033
Gm6710,0.14852551,0.368
Affy_10490248,0.14166567,0.422
Gm14434,0.1890066,0.293
Rps8,0.40813955,-0.11
Gm14434,0.40269987,0.247
Gm14434,0.40269987,0.247
Gm14434,0.40269987,0.247
Gm14434,0.40269987,0.247
Gm2049,0.88147887,-0.033
Gm14305,0.29223635,0.326
Etohi,0.15013396,0.236
Gm14407,0.69539884,-0.078
Affy_10490289,0.34819765,0.215
Gm14434,0.40269987,0.247
Gm14434,0.056418279,0.437
Affy_10490299,0.34750555,-0.336
2810021G02Rik,0.22112939,0.695
Sycp2,0.91856616,-0.015
Ppp1r3d,0.068397996,-0.322
Taf4a,0.7138828,0.052
Psma7,0.4348646,-0.21
Hrh3,0.22745825,-0.274
Lama5,0.67106309,-0.081
Cables2,0.38664741,0.24
Rbbp8nl,0.083557205,-0.315
Gata5,0.31522958,0.196
Tcfl5,0.78305975,-0.05
Dido1,0.62236471,0.065
Bhlhe23,0.15135875,-0.25
Gm14340,0.053202441,-0.454
Ythdf1,0.29105203,-0.158
Nkain4,0.59300506,-0.11
Chrna4,0.19132686,0.616
Kcnq2,0.30813426,-0.156
Eef1a2,0.97840948,0.006
Ptk6,0.2299397,0.288
Srms,0.80772883,0.057
BC006779,0.67454768,0.126
Gmeb2,0.16936727,0.25
Stmn3,0.23708185,-0.229
Stmn3,0.27137302,-0.277
Arfrp1,0.15468799,-0.301
Zbtb46,0.32157485,-0.214
Uckl1,0.62111281,0.082
Znf512b,0.24099811,-0.216
Samd10,0.38951223,-0.194
Sox18,0.8022007,-0.051
Affy_10490734,0.80035292,-0.046
Rgs19,0.69373247,0.118
4930526D03Rik,0.90417284,-0.026
Affy_10490751,0.80751143,0.051
Hnf4g,0.06686407,-0.329
Rps24-ps2,0.2258174,0.488
Affy_10490770,0.65646308,0.151
Hnrnph2,0.062313506,0.326
Gm10748,0.058758181,-0.254
Zfhx4,0.88362392,-0.024
Pkia,0.94781036,0.013
Gm8826,0.81373677,0.051
Zc2hc1a,0.39794579,0.207
Affy_10490813,0.76511615,-0.038
Gm5841,0.64559469,0.158
Stmn2,0.044208139,-0.382
Rpl29,0.4537463,-0.15
Zbtb10,0.78772566,0.068
Gm6236,0.24262482,-0.305
Fabp5,0.51036738,-0.361
Myef2,0.7920556,-0.072
Chmp4c,0.85473275,-0.057
Affy_10490852,0.59269784,-0.124
Gm13051,0.11291194,1.071
Ralyl,0.080842513,-0.28
Slc7a12,0.937123,-0.014
Lrrcc1,0.44889482,0.242
E2f5,0.85361461,0.044
Car13,0.95797598,0.013
Car3,0.32328352,-0.288
Car2,0.41806271,0.425
Ythdf3,0.67551133,-0.046
mir-124-2,0.46961195,-0.182
Cypt12,0.78138064,-0.062
Hsp90aa1,0.9567361,-0.019
Bhlhe22,0.56247516,-0.112
Affy_10490953,0.11960351,-0.371
Mtfr1,0.47174634,-0.128
Dnajc5b,0.36042578,-0.27
Affy_10490970,0.2551679,0.496
Trim55,0.78954856,-0.053
BC002189,0.71167716,-0.086
Affy_10490984,0.5044706,0.201
4632415L05Rik,0.68090333,0.066
Cp,0.80590826,-0.041
Hltf,0.15692104,0.427
Nudt21,0.65007391,0.087
Tbl1xr1,0.37017376,-0.162
Tbl1xr1,0.15252817,-0.256
Parp2,0.31957043,0.327
Spin3,0.81637321,-0.084
Rpl27a,0.89331398,-0.021
Affy_10491064,0.44321985,-0.183
Nlgn1,0.92178569,0.019
Spata16,0.32534644,-0.142
Affy_10491081,0.39989465,-0.169
Nceh1,0.88520337,-0.058
Tnfsf10,0.45077744,0.295
Ghsr,0.76474165,-0.052
Pld1,0.25887665,0.368
Tnik,0.16466019,-0.311
Slc2a2,0.85009688,0.057
Eif5a2,0.83466187,-0.041
Rpl22l1,0.5626727,-0.113
Gm1527,0.79042409,0.046
Egfem1,0.46406999,-0.304
mir-551b,0.29123523,-0.226
Mynn,0.6120752,0.127
Lrriq4,0.49772868,-0.141
Samd7,0.87584493,0.028
Sec62,0.13825163,-0.142
Gpr160,0.78279073,-0.065
Prkci,0.31987505,0.137
Skil,0.8557955,0.052
Cldn11,0.59573773,-0.089
Kcnmb2,0.00738232,-0.66
4930429B21Rik,0.27467798,-0.234
Pik3ca,0.5179964,-0.074
Zfp639,0.22271159,0.45
Mfn1,0.68091707,0.12
Actl6a,0.64790539,0.155
Mrpl47,0.22016351,0.254
Ndufb5,0.80180227,0.03
Usp13,0.97678358,-0.005
Pex5l,0.56331625,0.068
Ttc14,0.63155181,0.089
Fxr1,0.67086792,0.076
Gm5708,0.026635285,-0.586
Sox2,0.67497906,-0.043
Affy_10491484,0.77325698,0.068
Atp11b,0.65541471,0.09
Affy_10491518,0.79790416,0.057
B230207O21Rik,0.71439281,-0.058
A330050B17Rik,0.68537935,0.087
Acad9,0.77892624,0.063
1810062G17Rik,0.56972749,-0.155
Exosc9,0.10609825,0.448
4932438A13Rik,0.25399824,0.411
4932438A13Rik,0.073132448,0.786
4932438A13Rik,0.17773624,0.609
4932438A13Rik,0.14071083,1.058
4932438A13Rik,0.2280329,0.5
4932438A13Rik,0.20926025,0.312
4932438A13Rik,0.44078561,0.229
4932438A13Rik,0.36664639,0.276
4932438A13Rik,0.41489393,0.22
4932438A13Rik,0.45135526,0.239
4932438A13Rik,0.42362137,0.251
4932438A13Rik,0.10220029,0.79
4932438A13Rik,0.53816514,0.186
4932438A13Rik,0.24829941,0.404
4932438A13Rik,0.33298705,0.285
4932438A13Rik,0.30252635,0.32
4932438A13Rik,0.18651118,0.362
4932438A13Rik,0.087135502,0.585
4932438A13Rik,0.17459738,0.43
Adad1,0.45576813,-0.119
Adad1,0.53224755,0.198
Bbs12,0.14063188,0.25
Fgf2,0.256442,0.162
Spata5,0.12337608,0.304
Spry1,0.94442921,0.011
Rps23,0.97808901,0.004
Fat4,0.04009998,-0.364
Affy_10491751,0.95579264,-0.01
Intu,0.5120618,0.104
Slc25a31,0.48356631,-0.25
Hspa4l,0.15181818,0.373
Plk4,0.27526629,0.17
3110057O12Rik,0.90478248,-0.027
3110057O12Rik,0.80985897,-0.069
Larp1b,0.70198624,0.074
Affy_10491846,0.95553656,0.021
Larp1b,0.92294997,-0.034
Affy_10491858,0.076910046,0.43
Phf17,0.1541924,-0.3
D3Ertd751e,0.20933781,0.425
Acp1,0.29089441,-0.184
Pcdh10,0.54237515,0.101
Affy_10491895,0.5935783,0.119
Affy_10491897,0.77293485,-0.1
4932443G14,0.72898118,-0.051
Affy_10491913,0.81659802,0.047
Ccrn4l,0.028621018,-1.275
Elf2,0.39746669,-0.164
Naa15,0.74847021,0.061
Rab33b,0.45635008,-0.104
Mgst2,0.18115328,-0.207
Gm10729,0.77616945,-0.052
Affy_10491960,0.62327756,0.156
Foxo1,0.65410237,-0.072
Gapdh,0.66256339,-0.062
Lhfp,0.24340845,0.428
Proser1,0.80348949,-0.033
Stoml3,0.81587905,-0.056
Gm10727,0.85307847,-0.027
Gm8109,0.77834426,0.123
Trpc4,0.27428433,-0.308
Postn,0.98212978,0.015
Hnrnpa3,0.80808762,0.072
Fam48a,0.58041912,0.114
Alg5,0.54186669,0.1
Smad9,0.85508984,-0.1
Spg20,0.70139215,0.087
C13orf38,0.49125112,-0.109
Sohlh2,0.6070293,-0.084
Dclk1,0.99080729,0.002
Affy_10492165,0.95401211,-0.012
Affy_10492167,0.82971037,-0.062
Mab21l1,0.46268103,-0.174
Affy_10492172,0.88399081,-0.019
Tm4sf4,0.13827057,1.108
Rnf13,0.62774111,0.141
Affy_10492193,0.90787566,-0.016
Tsc22d2,0.12914452,-0.246
Eif2a,0.23833599,0.196
Selt,0.93042654,0.014
Rpl13,0.99459106,-0.001
Med12l,0.44415669,0.327
4930449A18Rik,0.30280622,-0.248
C130079G13Rik,0.38530477,0.132
Affy_10492291,0.43732132,-0.236
Aadacl2,0.35709472,0.204
Aadac,0.76130231,0.05
Sucnr1,0.79214398,0.174
Mbnl1,0.7781472,-0.052
Ube2v1,0.41280779,-0.09
P2ry1,0.91334448,0.034
Rap2b,0.96482064,-0.014
4631416L12Rik,0.72795903,0.118
Mme,0.34504907,1.664
Gmps,0.76420091,0.049
Vmn2r1,0.88731119,-0.029
Kcnab1,0.63223442,-0.084
Affy_10492424,0.86806172,0.037
Acsf2,0.89694266,-0.023
Tiparp,0.22114502,0.264
LOC630761,0.049260353,-0.521
Lekr1,0.86351718,0.039
Affy_10492442,0.57350996,-0.099
Ptx3,0.72547594,-0.058
Affy_10492452,0.64388775,-0.146
Affy_10492454,0.56856501,-0.125
Rsrc1,0.20497181,0.235
Mlf1,1,0
Gfm1,0.8799996,-0.026
Mfsd1,0.16838196,-0.264
Iqcj,0.82345368,-0.042
Schip1,0.81191071,-0.035
Affy_10492536,0.86852574,-0.043
Gm10723,0.84375223,0.041
Il12a,0.062436423,-0.467
Gm7270,0.7664122,0.051
1110032F04Rik,0.079337057,-0.335
Smc4,0.15534654,0.386
mir-15b,0.35641815,0.178
mir-16-2,0.37910597,0.2
Arl14,0.10352961,-0.282
Ppm1l,0.26379605,-0.303
Nmd3,0.11497306,-0.289
Otol1,0.14645784,-0.363
Affy_10492621,0.63660651,-0.076
Affy_10492625,0.93601745,0.013
Serpini1,0.77632063,-0.046
Fstl5,0.10215523,-0.194
Gm5523,0.71211986,-0.054
Affy_10492660,0.58335051,0.143
LOC100233207,0.26863236,-0.313
4930589L23Rik,0.97674097,-0.006
Ppid,0.62311286,0.093
4930579G24Rik,0.92124611,0.025
Fam198b,0.50856576,0.12
Pdgfc,0.52757004,0.215
Ctso,0.60649933,-0.125
Accn5,0.26300527,-0.292
Mtap9,0.95633629,-0.01
Fgg,0.30450808,-0.136
Fga,0.56337216,0.155
Fga,0.43779958,0.47
Plrg1,0.8950989,0.026
LOC633371,0.57165978,-0.139
Sfrp2,0.33423899,0.168
Affy_10492803,0.19421805,0.186
Tigd4,0.39466838,-0.16
Tmem154,0.57612314,-0.095
Affy_10492824,0.47475662,0.148
Fbxw7,0.90081412,0.02
Pet112l,0.44916914,0.161
Higd1a,0.049302729,0.468
Sh3d19,0.56243232,0.172
Affy_10492888,0.34845592,0.258
Lrba,0.38044278,0.135
Affy_10492951,0.83305098,0.056
Affy_10492953,0.39604513,0.304
Affy_10492955,0.83405961,0.052
Cd1d2,0.41995775,-0.235
Cd5l,0.5316147,0.391
Fcrl1,0.83523255,0.039
Fcrl5,0.84537359,-0.099
Etv3,0.88159688,0.028
Etv3l,0.76010376,-0.056
Arhgef11,0.92993383,-0.013
Insrr,0.35403114,-0.18
Sh2d2a,0.93718161,-0.014
Hdgf,0.51758318,0.078
Mrpl24,0.34227605,0.233
Isg20l2,0.80301734,0.06
Crabp2,0.73801154,0.077
Nes,0.42187364,0.208
Gpatch4,0.39027072,-0.147
Iqgap3,0.91639236,-0.022
Mef2d,0.93117312,-0.017
Mef2d,0.29122916,0.231
mir-9-1,0.42934862,0.167
Cct3,0.25985962,0.226
0610031J06Rik,0.74160206,-0.048
Smg5,0.74764129,0.043
Paqr6,0.3456189,-0.204
Rpl21,0.99318621,-0.001
Mex3a,0.8906909,0.031
Ubqln4,0.70804882,0.076
Ssr2,0.69932528,0.075
Arhgef2,0.67827846,0.1
Blom7a,0.14755144,-0.226
Scarna4,0.10418035,0.726
Rit1,0.58096173,-0.139
Gon4l,0.20295739,0.202
Gon4l,0.2675211,1.19
Gon4l,0.88465364,-0.031
Affy_10493345,0.59980912,-0.158
Ash1l,0.25185604,-0.125
Affy_10493377,0.21098437,-0.223
Gm6835,0.8875859,-0.031
Pklr,0.59172544,0.296
Clk2,0.99472832,0.001
Scamp3,0.72155644,-0.082
Fam189b,0.67963412,-0.108
Gba,0.70168621,0.064
Thbs3,0.41905742,-0.132
Muc1,0.29937034,0.206
Krtcap2,0.85793689,-0.053
Dpm3,0.51940022,-0.112
Efna3,0.81980158,0.147
Adam15,0.48574294,-0.197
Dcst1,0.25476233,-0.299
Dcst2,0.59467798,-0.116
Gm15417,0.47191375,0.193
Shc1,0.18307482,0.211
Pygo2,0.79993744,-0.039
Pbxip1,0.27143744,-0.182
Pmvk,0.32143863,0.418
Kcnn3,0.86979711,-0.032
Adar,0.99442835,-0.002
Ube2q1,0.45667383,-0.113
She,0.76757571,-0.042
C1orf43,0.086231133,0.3
1700094D03Rik,0.22962758,0.329
mir-190b,0.20899917,0.186
