gene,p-value,parental difference (B6-DBA)
Affy_10338286,0.71787373,0.134
Affy_10338287,0.4138107,0.485
Affy_10338288,0.56129282,0.421
Affy_10338289,0.21306155,0.754
Affy_10338290,0.20078614,0.568
Affy_10338291,0.72266883,-0.234
Itch,0.89931763,-0.022
Affy_10338293,0.98950491,-0.006
Affy_10338294,0.58042538,-0.152
Affy_10338295,0.77987753,-0.078
Affy_10338296,0.90617473,0.055
Affy_10338297,0.972254,-0.014
Copa,0.65421784,0.116
Affy_10338299,0.51298299,-0.413
Affy_10338300,0.782544,0.131
Affy_10338301,0.13830532,-0.51
Affy_10338302,0.67230724,-0.213
Affy_10338303,0.015215473,1.052
Affy_10338304,0.85390049,-0.08
Affy_10338305,0.60657056,-0.246
Affy_10338306,0.076686401,-0.595
Affy_10338307,0.75361837,-0.153
Affy_10338308,0.59118745,0.464
Affy_10338309,0.80607533,0.081
Affy_10338310,0.58761728,-0.266
Affy_10338311,0.3073553,-0.364
Affy_10338312,0.5652202,-0.372
Affy_10338313,0.66172637,-0.144
Affy_10338314,0.083993617,-0.883
Affy_10338315,0.24111071,-0.27
Affy_10338316,0.81092893,0.12
Affy_10338317,0.5990643,0.181
Affy_10338318,0.9043548,-0.054
Affy_10338319,0.4264313,-0.349
Affy_10338320,0.93355254,0.04
Affy_10338321,0.48062496,0.41
Affy_10338322,0.32748976,0.349
Affy_10338323,0.99077218,0.005
Affy_10338324,0.41633348,0.397
Affy_10338325,0.62234562,-0.295
Affy_10338326,0.73284151,0.16
Affy_10338327,0.805101,0.054
Affy_10338328,0.11648313,1.024
Affy_10338329,0.4081009,0.647
Affy_10338330,0.50030153,0.226
Affy_10338331,0.5755202,0.213
Affy_10338332,0.38657382,1.066
Affy_10338333,0.43476537,0.374
Affy_10338334,0.58971039,-0.292
Affy_10338335,0.2128118,-0.49
Affy_10338336,0.81615552,0.116
Affy_10338337,0.22040824,0.512
Affy_10338338,0.83432946,-0.092
Affy_10338339,0.87086649,-0.05
Affy_10338340,0.75878653,-0.141
Affy_10338341,0.70172273,-0.178
Affy_10338342,0.89942608,0.036
Affy_10338343,0.86639673,0.052
Affy_10338344,0.86757247,-0.039
Affy_10338345,0.88161847,0.084
Affy_10338346,0.35823278,0.323
Affy_10338347,0.26215915,0.518
Affy_10338348,0.75381073,0.225
Affy_10338349,0.26467593,0.823
Affy_10338350,0.60060755,0.171
Affy_10338351,0.38305467,0.558
Affy_10338352,0.60608544,0.286
Affy_10338353,0.5512233,-0.288
Affy_10338354,0.57960587,0.16
Affy_10338355,0.73378211,0.436
Affy_10338356,0.17684171,-0.512
Affy_10338357,0.88381078,0.068
Affy_10338358,0.59639427,-0.272
Affy_10338359,0.44976477,0.425
Affy_10338360,0.53065738,-0.37
Affy_10338361,0.58271141,0.249
