target,gene,p-value,parental difference (B6-DBA)
1415859_at,Eif3s8,0.14345522,0.3202
1415860_at,Kpna2,0.23285185,-0.249
1415861_at,Tyrp1,0.83368184,-0.0416
1415862_at,Tyrp1,0.41155312,-0.1716
1415863_at,Eif4g2,0.31355199,0.1634
1415864_at,Bpgm,0.83625505,0.0314
1415865_s_at,Bpgm,0.87748767,0.0174
1415866_at,AW538196,0.36458047,-0.1924
1415867_at,Cct4,0.79538376,0.038
1415868_at,Cct4,0.42848914,0.1922
1415869_a_at,Trim28,0.25629145,-0.163
1415870_at,Calu,0.72747438,-0.0308
1415871_at,Tgfbi,0.97661477,0.0062
1415872_at,Hnrph1,0.4934037,0.0722
1415873_a_at,Actr1a,0.91523419,0.0164
1415874_at,Spry1,0.45258374,0.0718
1415875_at,Tera,0.19118272,0.1792
1415876_a_at,Rps26,0.46045653,-0.0818
1415877_at,Dpysl3,0.49985864,-0.2072
1415878_at,Rrm1,0.97565163,-0.0042
1415879_a_at,Rplp2,0.29049787,-0.1064
1415880_a_at,Lamp1,0.40982715,0.0788
1415881_at,Ghitm,0.52829816,0.0544
1415882_at,Ghitm,0.55313125,0.0786
1415883_a_at,Ela3b,0.68778235,-0.1018
1415884_at,Ela3b,0.41292424,-0.1284
1415885_at,Chgb,0.82361796,-0.0478
1415886_at,Sh2d3c,0.28448416,-0.1736
1415887_at,Tfg,0.97688789,0.0026
1415888_at,Hdgf,0.55489768,0.1096
1415889_a_at,Hsp90b1,0.62855925,0.0784
1415890_at,Papss1,0.24042423,0.1524
1415891_at,Suclg1,0.90618377,-0.0104
1415892_at,Sgpl1,0.513071,-0.1182
1415893_at,Sgpl1,0.61442222,0.1542
1415894_at,Enpp2,0.25428528,0.2876
1415895_at,Snrpn,0.62634507,-0.0738
1415896_x_at,Snrpn,0.56929452,-0.0778
1415897_a_at,Mgst1,0.92804243,-0.025
1415898_at,Mgst1,0.96317985,-0.0082
1415899_at,Junb,0.49100909,-0.1836
1415900_a_at,Kit,0.8318186,-0.0398
1415901_at,Plod3,0.27289859,-0.1678
1415902_at,Aldh7a1,0.69414325,-0.1008
1415903_at,Slc38a1,0.15408706,0.91
1415904_at,Lpl,0.23629066,-0.7542
1415905_at,Reg1,0.95403032,-0.0086
1415906_at,Tmsb4x,0.73750667,-0.0374
1415907_at,Ccnd3,0.95194082,-0.0126
1415908_at,Tspyl1,0.91442599,0.0282
1415909_at,Stip1,0.4622602,0.1556
1415910_s_at,Ciapin1,0.24701353,-0.1534
1415911_at,Impact,0.38919115,-0.1612
1415912_a_at,Rps13,0.47698957,-0.084
1415913_at,Rps13,0.38605798,-0.1254
1415914_at,Hnrpab,0.6336227,0.0638
1415915_at,Ddx1,0.58407928,-0.044
1415916_a_at,Mthfd1,0.57741677,-0.0662
1415917_at,Mthfd1,0.45631671,-0.0842
1415918_a_at,Tpi1,0.32120959,-0.0858
1415919_at,Npdc1,0.54190022,-0.1164
1415920_at,Cstf2t,0.85125002,0.021
1415921_a_at,Tnfrsf19,0.65787129,0.0856
1415922_s_at,Mlp,0.89276272,-0.046
1415923_at,Ndn,0.000299096,-0.6314
1415924_at,Tnp1,0.72279785,-0.0604
1415925_a_at,Nup62,0.76453518,0.0572
1415926_at,Nup62,0.74316894,0.0492
1415927_at,Actc1,0.71224573,-0.0652
1415928_a_at,Map1l3cb,0.74494329,0.0436
1415929_at,Map1l3cb,0.37001259,0.109
1415930_a_at,Map1l3cb,0.4848711,0.0992
1415931_at,Igf2,0.75468544,-0.0472
1415932_x_at,Atp9a,0.67275815,-0.0888
1415933_a_at,Cox5a,0.2877136,-0.2392
1415934_at,Cops8,0.24732344,-0.1202
1415935_at,Smoc2,0.60100248,-0.1898
1415936_at,Bcar3,0.92281508,-0.0194
1415937_s_at,Pdcd6ip,0.80763548,0.0394
1415938_at,Spink3,0.30917434,-0.1842
