target,gene,p-value,parental difference (B6-DBA)
1432157_at,BC003267,0.87985552,0.0194
1432158_a_at,Trappc2,0.70813803,0.0486
1432159_a_at,Tex13,0.60587121,0.1146
1432160_at,Git2,0.26995799,0.333
1432161_a_at,Ptar1,0.33102116,0.251
1432162_s_at,Ptar1,0.96395807,0.0074
1432163_at,4930567K12Rik,0.6647364,0.0654
1432164_a_at,Gcsh,0.47814091,-0.1066
1432165_at,8430422H06Rik,0.66948438,-0.077
1432166_at,E130018N17Rik,0.61379923,-0.0864
1432167_at,AK016250,0.80459071,-0.0412
1432168_at,D730045A05Rik,0.51588578,0.1068
1432169_at,4930523O13Rik,0.55728617,-0.0904
1432170_at,Tsfm,0.78220915,0.0484
1432171_at,4930435E18Rik,0.5629902,0.1072
1432172_at,4930533K18Rik,0.83857814,-0.0338
1432173_at,Serpinb12,0.25916264,-0.2044
1432174_a_at,4933425K02Rik,0.85804645,-0.0334
1432175_at,5430434I15Rik,0.53059408,-0.1038
1432176_a_at,Eng,0.84138402,0.034
1432177_a_at,Mnat1,0.44144702,-0.1038
1432178_at,Olfr178,0.77528897,0.0536
1432179_x_at,2810433K01Rik,0.76957288,-0.0714
1432180_at,BC024561,1,0
1432181_s_at,Ecgf1,0.73161144,-0.0746
1432182_at,4922502B01Rik,0.974151,-0.0078
1432183_at,C030022K24Rik,0.77649092,-0.044
1432184_a_at,Inf2,0.82957847,0.0892
1432185_a_at,4930451F05Rik,0.91798661,0.017
1432186_at,1700028J19Rik,0.73136797,0.0626
1432187_at,Nup43,0.24435636,-0.1722
1432188_s_at,Nup43,0.27851269,-0.165
1432189_a_at,Sox5,0.96867742,-0.0102
1432190_at,Sox5,0.43983117,-0.1634
1432191_at,Clcn4-2,0.7393634,-0.0696
1432192_at,4930483K19Rik,0.93757571,0.0156
1432193_at,4930412L05Rik,0.54124026,0.1158
1432194_at,9530020I12Rik,0.71678995,-0.0806
1432195_s_at,Ccnl2,0.44712739,-0.0886
1432196_a_at,4930435C18Rik,0.27943936,0.3386
1432197_at,4933417D19Rik,0.88018351,-0.0268
1432198_at,Prune2,0.23045998,4.1564
1432199_at,4930568D16Rik,0.77335341,-0.0446
1432200_at,C030044M21Rik,0.52225038,-0.133
1432201_a_at,Zswim2,0.18343216,-0.2612
1432202_a_at,Wdr51a,0.22015898,0.325
1432203_at,4930563P21Rik,0.52911626,-0.122
1432204_at,4930570B17Rik,0.94261108,-0.0104
1432205_a_at,Mtus2,0.37062269,0.2192
1432206_at,9030404E10Rik,0.71010994,-0.0702
1432207_a_at,Toe1,0.71021533,-0.0486
1432208_at,4930459C07Rik,0.99865047,-0.0004
1432209_at,1810010K12Rik,0.78108473,-0.0482
1432210_at,4933401H06Rik,0.6244657,-0.1094
1432211_a_at,Fbxo9,0.42305976,0.1318
1432212_at,1810073H04Rik,0.89834031,0.0262
1432213_at,9530047P18Rik,0.30392038,-0.1512
1432214_at,1700017D01Rik,0.56562714,-0.0802
1432215_s_at,4930417O22Rik,0.75805466,0.0616
1432216_s_at,Mpp7,0.43998926,0.1954
1432217_a_at,1700019F09Rik,0.84286836,-0.077
1432218_a_at,4632412I24Rik,0.68077118,-0.0698
1432219_at,4632412I24Rik,0.46570859,-0.1188
1432220_at,Zfp526,0.80142899,-0.039
1432221_at,5330417H12Rik,0.86745197,-0.024
1432222_at,A930015G24Rik,0.81491014,0.0468
1432223_at,Olfr275,0.38378727,0.1432
1432224_at,4831407H17Rik,0.49895096,-0.144
1432225_at,4930456L15Rik,0.9224176,-0.0172
1432226_at,4930548G14Rik,0.9945955,-0.0012
1432227_at,Suv39h1,0.74027143,-0.0602
1432228_at,4933406B15Rik,0.96509815,-0.008
1432229_a_at,Cdyl2,0.76075184,0.0684
1432230_at,Hip1,0.59857518,0.0858
1432231_at,4930526H09Rik,0.92245218,-0.0204
1432232_at,AK016486,0.95081044,0.0102
1432233_at,Scara3,0.65203057,-0.0766
1432234_at,Ifitm7,0.71949253,-0.06
1432235_at,Epsti1,0.99430951,-0.0014
1432236_a_at,Suv39h1,0.78847627,0.0408
1432237_at,5730522E02Rik,0.67216153,-0.0684
1432238_at,Spats1,0.12514565,-0.2756
1432239_at,1700102J08Rik,0.74587812,-0.063
1432240_at,4930533L02Rik,0.786808,-0.0482
1432241_at,Dlgap2,0.3098182,0.1322
1432242_at,4930447N08Rik,0.7059643,0.0824
1432243_a_at,4933433G15Rik,0.54611276,-0.1044
1432244_at,4930507D10Rik,0.84070783,0.0316
1432245_s_at,Ttc9c,0.72462168,0.078
1432246_at,4922502N22Rik,0.90133409,0.03
1432247_at,4633402D09Rik,0.39505549,-0.1488
1432248_at,5430402P08Rik,0.94572621,-0.0128
1432249_a_at,Ckn1,0.84110855,0.03
1432250_at,Utp14a,0.7597722,-0.0552
1432251_at,Pde7b,0.99479876,-0.0016
1432252_a_at,4933406K04Rik,0.79747403,0.0484
1432253_at,4921523P09Rik,0.51339121,0.0928
1432254_at,Pspc1,0.62743326,-0.0888
1432255_at,Mast1,0.76370104,0.05
1432256_at,1700111N16Rik,0.64959574,-0.0894
1432257_at,1700022L20Rik,0.95110436,0.0108
1432258_at,9430014N10Rik,0.87758777,0.0314
1432259_s_at,2810048G06Rik,0.92696935,0.0172
1432260_at,Gpr39,0.72098535,0.0804
1432261_at,2310039D24Rik,0.63181716,0.073
1432262_at,4930504E06Rik,0.61280855,0.104
1432263_a_at,Cox7a2l,0.033279369,-0.2222
1432264_x_at,Cox7a2l,0.26625213,-0.136
1432265_at,4930445B16Rik,0.60813607,-0.0858
1432266_at,9430077C05Rik,0.49990381,-0.1194
1432267_at,6720483E21Rik,0.79636991,-0.0442
1432268_at,2310068J16Rik,0.75960623,-0.078
1432269_a_at,Sh3kbp1,0.30320718,0.1988
1432270_a_at,Chmp5,0.98984679,0.0018
1432271_a_at,4833420K19Rik,0.77582723,0.035
1432272_a_at,Ercc4,0.23101361,0.2402
1432273_a_at,Dfy,0.26547375,0.5338
1432274_at,4930543N07Rik,0.71846948,-0.0516
1432275_at,Ikbkb,0.81632591,0.0426
1432276_at,4930519F16Rik,0.4794491,-0.1588
1432277_at,4930565D16Rik,0.89323631,0.0274
1432278_at,4930471M09Rik,0.90357831,0.022
1432279_at,4930452L02Rik,0.82370652,0.0352
1432280_at,2310007L24Rik,0.95633444,0.011
1432281_a_at,Itgb6,0.66013188,0.083
1432282_a_at,2010305C02Rik,0.3272947,-0.2072
1432283_at,4930417G10Rik,0.63727688,-0.0958
1432284_at,Mipol1,0.8120831,-0.0686
1432285_at,1700128F08Rik,0.9565881,-0.009
1432286_at,Pole4,0.43467759,0.1008
1432287_a_at,Sntg1,0.42199066,-0.1428
1432288_at,5830468F06Rik,0.56761308,-0.1548
1432289_a_at,Jsrp1,0.54018182,-0.0988
1432290_at,1700040G22Rik,0.80146848,0.051
1432291_at,0610033M10Rik,0.5691758,0.1026
1432292_at,4930504C09Rik,0.54089055,-0.1012
1432293_at,4930579G18Rik,0.94489669,-0.0084
1432294_at,9330177L23Rik,0.98189138,-0.0048
1432295_a_at,C20orf29,0.40692794,0.1506
1432296_a_at,Itgav,0.65419217,0.088
1432297_at,Zim2,0.40077648,-0.1626
1432298_at,4921508M14Rik,0.6000196,-0.0854
1432299_at,4921513I08Rik,0.52504428,-0.0962
1432300_at,1190003K10Rik,0.45756483,-0.091
1432301_a_at,1700074P13Rik,0.92226676,0.0168
1432302_s_at,2410024N13Rik,0.66664533,0.0676
1432303_at,9330198I05Rik,0.65619465,0.0998
1432304_a_at,9030624J02Rik,0.36481734,0.2216
1432305_at,4930542C16Rik,0.95128299,-0.013
1432306_at,Rapgef5,0.44873243,0.0836
1432307_at,AU040829,0.73791513,-0.0716
1432308_at,1700058C13Rik,0.50123798,-0.0974
1432309_at,9130410C08Rik,0.5083637,-0.092
1432310_at,6530401F13Rik,0.22139996,0.2446
1432311_at,8430437G11Rik,0.60912425,0.1034
1432312_a_at,4931440B09Rik,0.11627182,-0.685
1432313_at,4933433F19Rik,0.70712586,-0.0706
1432314_at,4930554C24Rik,0.83793041,-0.0448
1432315_at,4930404E01Rik,0.91510679,0.0136
1432316_at,4933439N14Rik,0.82151185,-0.039
1432317_at,9430078K24Rik,0.83860011,0.033
1432318_at,Ugcgl1,0.88125216,0.026
1432319_at,1700085C21Rik,0.8910499,0.028
1432320_at,9430065F17Rik,0.69435488,0.1272
1432321_at,Cnbp2,0.75138542,-0.0566
1432322_at,2310016E02Rik,0.19352009,-0.2212
1432323_at,8430436N08Rik,0.63854268,-0.1018
1432324_at,4930432J09Rik,0.91413646,-0.0132
1432325_at,4930502M04Rik,0.88753888,0.0254
1432326_at,LOC238829,0.73383367,0.0798
1432327_at,Sntb2,0.70410969,0.0576
1432328_at,Olfr639,0.90658401,-0.0248
1432329_a_at,Matk,0.74149137,-0.0598
1432330_at,AI194696,0.9962559,0.0008
1432331_a_at,Prrx2,0.4032403,-0.1586
1432332_a_at,Nudt19,0.25139749,0.9206
1432333_a_at,D21orf56,0.79671836,-0.0342
1432334_at,4930488P18Rik,0.85042729,-0.024
1432335_at,4930551O13Rik,0.85147749,0.0332
1432336_at,5033404E19Rik,0.43886894,-0.1636
1432337_at,Fancl,0.84328959,-0.0308
1432338_at,4833419O12Rik,0.54726371,0.1026
1432339_at,4933432I03Rik,0.83509086,-0.0444
1432340_at,1700121N20Rik,0.96175558,-0.0096
1432341_at,4933413D07Rik,0.65938986,-0.1078
1432342_at,Nmnat3,0.89891768,-0.0222
1432343_at,4930419G24Rik,0.89261079,-0.0216
1432344_a_at,Aplp2,0.15692328,0.4168
1432345_at,1700048F04Rik,0.75203901,-0.0716
1432346_a_at,Cdh23,0.75420487,0.0506
1432347_at,4931428L18Rik,0.7348159,0.0498
1432348_at,4930524O07Rik,0.61701183,-0.0784
1432349_a_at,Sync,0.95594795,-0.0114
1432350_at,Sync,0.91704959,0.0208
1432351_at,9030625G05Rik,0.70260268,0.0618
1432352_at,Ccny,0.78783636,-0.075
1432353_at,4933421B21Rik,0.89688031,-0.02
1432354_at,1700003H04Rik,0.84599951,0.0388
1432355_at,2210039B01Rik,0.58365092,0.114
1432356_at,1700056N10Rik,0.67666614,-0.1052
1432357_at,4930566D17Rik,0.72045695,0.0488
1432358_at,1110008I14Rik,0.76637758,0.0466
1432359_at,4930435F05Rik,0.81505598,0.0448
1432360_a_at,Tmtc4,0.73367554,-0.0736
1432361_a_at,1700022C02Rik,0.19799091,-0.432
1432362_at,1700022C02Rik,0.6401031,-0.1218
1432363_at,Pde4c,0.56169517,-0.0788
1432364_at,4930556N13Rik,0.78826413,0.0384
1432365_a_at,4930556L07Rik,0.8424272,-0.028
1432366_at,4930447K03Rik,0.93643109,0.0144
1432367_a_at,Ufd1l,0.90150865,0.026
1432368_at,4930594M17Rik,0.6429417,0.0926
1432369_at,3010027C24Rik,0.62511958,-0.094
1432370_at,4933411E02Rik,0.87489962,-0.04
1432371_a_at,1700109K24Rik,0.74071803,-0.0682
1432372_a_at,Spr,0.62753391,-0.1634
1432373_at,4930533B01Rik,0.75532826,-0.0556
1432374_a_at,D5Wsu178e,0.74306254,0.0904
1432375_a_at,Spata3,0.58794103,-0.1068
1432376_at,3830403N18Rik,0.81328089,-0.0386
1432377_x_at,Shrm,0.83538986,0.026
1432378_at,C030004G16Rik,0.48231207,-0.1454
1432379_at,4930590A17Rik,0.57574069,-0.0828
1432380_s_at,4921501E01Rik,0.76011439,-0.0774
1432381_a_at,Fsip1,0.43477865,0.0944
1432382_at,4930434B07Rik,0.87488619,-0.0328
1432383_a_at,Armc9,0.86263387,0.0446
1432384_a_at,1600013P15Rik,0.88715703,-0.0196
1432385_a_at,Agtpbp1,0.33278965,0.2554
1432386_a_at,Phf7,0.90490703,-0.0258
1432387_at,Pgcp,0.52117554,-0.1432
1432388_at,5430440P10Rik,0.81229925,0.0422
1432389_at,4933438A12Rik,0.91966149,0.0154
1432390_at,4933400F21Rik,0.9936896,-0.0014
1432391_at,2410030J07Rik,0.87488686,-0.0362
1432392_at,Kif2c,0.39250989,-0.1784
1432393_a_at,Icf45,0.25879,-0.8434
1432394_a_at,Aatf,0.028976572,-0.4062
1432395_at,1700039E15Rik,0.81740894,0.0452
1432396_at,3110018I06Rik,0.65713386,-0.0574
1432397_at,Tssk3,0.76524247,0.047
1432398_at,1700084J12Rik,0.96158159,0.0046
1432399_a_at,Epha1,0.57361916,-0.1258
1432400_at,Epha1,0.88188238,-0.034
1432401_a_at,4930511M11Rik,0.83095224,-0.0456
1432402_at,4930402F11Rik,0.74513463,-0.0552
1432403_at,4933402C06Rik,0.79007029,-0.0378
1432404_at,4930505A04Rik,0.79905474,0.0436
1432405_a_at,Plcz1,0.77188767,-0.0452
1432406_at,Ces7,0.9221897,-0.0176
1432407_at,4933426D04Rik,0.75097027,-0.0528
1432408_a_at,AK013560,0.24494158,0.6478
1432409_at,Prkar2a,0.71226901,0.0528
1432410_a_at,Bmp7,0.84058322,-0.0462
1432411_a_at,Fbxw2,0.88589386,-0.0586
1432412_at,9530004P13Rik,0.88951592,0.0258
1432413_at,2900005P22Rik,0.33151381,-0.1792
1432414_at,Mapkbp1,0.58229369,0.113
1432415_at,Rab3c,0.88007667,-0.051
1432416_a_at,Npm1,0.71471297,-0.0818
1432417_a_at,Tspan2,0.20043672,0.5326
1432418_a_at,Ckmt1,0.12778194,-0.4246
1432419_a_at,Hcca2,0.54960449,0.0818
1432420_a_at,2310002L09Rik,0.6888604,-0.0778
1432421_at,Pms2,0.95214752,-0.0094
1432422_at,1700063K16Rik,0.93920243,-0.0126
1432423_a_at,4931405B09Rik,0.57886729,-0.1032
1432424_at,4930505H01Rik,0.84754478,-0.0376
1432425_at,4930418G15Rik,0.62119803,0.0792
1432426_a_at,Ube2f,0.85767807,0.027
1432427_at,Ndufb4,0.99251471,-0.002
1432428_at,C030011J08Rik,0.49239888,-0.143
1432429_at,Dach1,0.95305043,0.0086
1432430_a_at,1700081L11Rik,0.83989102,0.0388
1432431_s_at,1110033L15Rik,0.40715701,0.1472
1432432_a_at,Rab3c,0.021484112,0.8132
1432433_at,4930524N10Rik,0.8981662,0.0304
1432434_at,4930522N08Rik,0.9000497,-0.023
1432435_s_at,C030004A17Rik,0.63070838,-0.0668
1432436_a_at,Ak3,0.16204201,0.2784
1432437_at,4933413N12Rik,0.77486137,-0.0528
1432438_at,St6galnac3,0.99021523,0.0016
1432439_at,Zfp715,0.25168086,0.201
1432440_at,1700111E14Rik,0.40602288,-0.146
1432441_at,4933413J09Rik,0.28311974,-0.1356
1432442_at,4930481F22Rik,0.83676003,-0.0488
1432443_at,1700021P22Rik,0.10458306,-0.8774
1432444_a_at,Eapp,0.34956437,0.2674
1432445_at,2310016G11Rik,0.9554101,-0.0118
1432446_at,14-Sep,0.6006622,0.0894
1432447_a_at,2310005N01Rik,0.95979718,-0.0088
1432448_at,2600006K01Rik,0.95163723,0.01
1432449_at,4930564B18Rik,0.65325095,-0.104
1432450_at,8030423J24Rik,0.40678529,-0.1466
1432451_at,4930445E18Rik,0.6559948,-0.067
1432452_at,1700054O19Rik,0.67900891,0.0476
1432453_a_at,Ms4a10,0.42552332,-0.1614
1432454_at,2410137M14Rik,0.82901545,-0.0386
1432455_a_at,Plpcd,0.65776265,0.0866
1432456_at,4930533B18Rik,0.69861478,-0.0782
1432457_at,4930448F12Rik,0.73508395,-0.064
1432458_at,1700011F14Rik,0.72215112,0.0724
1432459_a_at,Zbtb32,0.83979074,-0.036
1432460_at,1700125F08Rik,0.54742138,-0.103
1432461_at,Eya4,0.94637323,-0.0144
1432462_a_at,Crsp8,0.73913493,-0.0606
1432463_at,5730510P18Rik,0.66125961,-0.0792
1432464_a_at,2310057J16Rik,0.51547482,-0.1628
1432465_at,Morc,0.32141362,-0.1778
1432466_a_at,Apoe,0.49901642,-0.0852
1432467_at,Lrch3,0.93792879,-0.0114
1432468_at,Lcn9,0.46818083,-0.1334
1432469_at,1700094E07Rik,0.89522135,0.0242
1432470_at,1700016A09Rik,0.35256058,-0.1324
1432471_at,5730419I09Rik,0.94625086,0.0128
1432472_a_at,Mccc2,0.8203623,-0.0424
1432473_a_at,Abca14,0.72550913,0.0486
1432474_a_at,Krtcap3,0.94447362,-0.0144
1432475_at,1700014B07Rik,0.84420379,-0.0382
1432476_at,1700040F17Rik,0.63624098,0.072
1432477_at,4930412D23Rik,0.19692928,-0.172
1432478_a_at,Ibrdc3,0.93897339,-0.0178
1432479_at,Spn,0.88732774,-0.0228
1432480_a_at,1700051C09Rik,0.90391564,0.0194
1432481_a_at,Lyzl6,0.71599939,-0.0656
1432482_at,Lyzl6,0.64443887,0.0756
1432483_at,1700124K17Rik,0.94383107,0.0118
1432484_at,1110046L09Rik,0.97011822,0.0072
1432485_at,3110057O12Rik,0.42381295,-0.1408
1432486_a_at,Tesp2,0.84487368,0.0338
1432487_at,4930405H06Rik,0.81411934,0.0518
1432488_a_at,Sf3a3,0.93036277,-0.0188
1432489_a_at,Wdyhv1,0.85493076,0.0422
1432490_a_at,Pde10a,0.72092877,0.0932
1432491_at,Pcdh8,0.61297485,-0.0798
1432492_a_at,Haao,0.63542146,-0.0858
1432493_at,1700020M10Rik,0.68854282,-0.0638
1432494_a_at,1700019E19Rik,0.98158376,0.003
1432495_at,Sox7,0.67295307,-0.0792
1432496_at,1700122O11Rik,0.40239823,-0.1174
1432497_at,4633402D15Rik,0.60662641,-0.0818
1432498_at,1700020C07Rik,0.97839988,0.0054
1432499_a_at,Ube4b,0.9107931,0.0186
1432500_at,C330014B19Rik,0.083885846,-0.229
1432501_at,1700092E16Rik,0.81988342,-0.039
1432502_at,Map3k14,0.90896907,0.025
1432503_a_at,Pdcl2,0.82795323,0.041
1432504_at,Camkmt,0.69621709,-0.0612
1432505_at,1700009J07Rik,0.56086423,-0.1116
1432506_at,C330014O21Rik,0.89704949,-0.0168
1432507_at,B430319H21Rik,0.83844592,-0.0382
1432508_at,1700113I22Rik,0.6508765,0.0866
1432509_at,5033430I15Rik,0.32936417,-0.2824
1432510_at,4930512M02Rik,0.86075712,-0.0306
1432511_s_at,2410007P03Rik,0.15607673,0.3854
1432512_at,Agbl4,0.98018551,-0.0046
1432513_a_at,1700001C02Rik,0.55304307,-0.1798
1432514_at,1700066J24Rik,0.92228642,-0.012
1432515_at,2410124H12Rik,0.42734263,-0.1984
1432516_at,4930447F04Rik,0.7160149,-0.061
1432517_a_at,Nnmt,0.40920969,0.1472
1432518_at,4930430J20Rik,0.95369226,0.0118
1432519_at,1810059H22Rik,0.77225459,-0.0566
1432520_at,Olfr905,0.79829348,-0.0472
1432521_at,Mxra8,0.53052655,0.117
1432522_s_at,1700001M19Rik,0.51836012,-0.0944
1432523_at,Hipk2,0.95783399,0.0088
1432524_at,4930550G17Rik,0.78090215,0.0636
1432525_at,1700001C02Rik,0.96469801,0.0074
1432526_a_at,Snf8,0.5603724,-0.0682
1432527_at,1700108M19Rik,0.4598947,-0.1322
1432528_at,1700021P04Rik,0.78769662,0.0486
1432529_at,Boll,0.38279843,-0.1256
1432530_s_at,Boll,0.86529555,0.0286
1432531_at,Cst12,0.64190496,-0.0792
1432532_at,0610025J13Rik,0.98485151,0.0026
1432533_a_at,Slc35a2,0.98240899,0.003
1432534_at,3300002I08Rik,0.96914093,0.0084
1432535_at,5530400C23Rik,0.9186832,-0.0192
1432536_at,1700055M20Rik,0.98029916,-0.004
1432537_at,4930465A12Rik,0.70883786,-0.0676
1432538_a_at,Rfc3,0.56636284,-0.1488
1432539_a_at,Nup54,0.83046823,-0.058
1432540_at,5430433J05Rik,0.85682574,-0.0302
1432541_at,4930408O17Rik,0.88813325,-0.0264
1432542_at,2810474C18Rik,0.88897121,-0.0232
1432543_a_at,Klf13,0.91967109,0.023
1432544_at,4930449E01Rik,0.68237521,-0.0822
1432545_at,Il6ra,0.57053744,-0.1208
1432546_at,4930529I22Rik,0.95342962,0.0138
1432547_at,C030005H24Rik,0.71502776,-0.0594
1432548_at,1600029O10Rik,0.90240266,-0.0244
1432549_s_at,1700112M01Rik,0.69883013,-0.0638
1432550_at,4930572D21Rik,0.96964656,-0.0052
1432551_at,1700031F10Rik,0.9224263,-0.0206
1432552_at,Slc26a6,0.89854238,-0.0164
1432553_at,1700069L16Rik,0.77285448,-0.046
1432554_at,2310040G07Rik,0.68353936,0.0762
1432555_at,whirlin,0.23588136,-0.2432
1432556_a_at,3100002J23Rik,0.34184923,-0.5456
1432557_at,Cntfr,0.95928998,0.0086
1432558_a_at,Mal,0.052379759,0.6894
1432559_at,2210409D07Rik,0.95499069,0.0134
1432560_at,1700127D06Rik,0.77397585,0.048
1432561_at,4930569F06Rik,0.41816819,-0.1092
1432562_at,1110006G14Rik,0.6498757,-0.0742
1432563_at,1700116B05Rik,0.48582861,0.0992
1432564_at,Affy_1432564_at,0.83866408,0.0384
1432565_at,AK019053,0.86675396,-0.053
1432566_at,1700129I15Rik,0.88398006,0.0308
1432567_at,Sf3b1,0.39011298,-0.136
1432568_at,1700121K02Rik,0.92363025,0.0204
1432569_at,1700121K02Rik,0.91290328,0.0196
1432570_at,6030458E02Rik,0.75328026,0.0634
1432571_at,Oaz3,0.610612,0.0884
1432572_at,4931406H21Rik,0.81886038,-0.0398
1432573_at,4930506C02Rik,0.81963061,0.034
1432574_at,Foxc1,0.9664171,-0.006
1432575_at,4930548F15Rik,0.80455553,-0.0404
1432576_at,Raver1,0.85549733,0.037
1432577_at,6720411P22Rik,0.54742375,-0.084
1432578_at,4933440H19Rik,0.28439419,-0.127
1432579_at,Rshl2,0.61328998,0.2014
1432580_at,Hnmt,0.89814536,-0.0274
1432581_at,DV663216,0.9374071,-0.0134
1432582_at,3110054G05Rik,0.55158969,-0.081
1432583_at,Slc8a1,0.50394929,0.1992
1432584_at,Phf21a,0.79941369,-0.0402
1432585_at,4931428A05Rik,0.69187996,-0.0758
1432586_at,Fbxo45,0.71752845,0.0522
1432587_at,5730596P11Rik,0.97667694,0.005
1432588_at,5830468K08Rik,0.71243184,-0.072
1432589_at,Plcg1,0.56488999,0.1382
1432590_at,4930433N12Rik,0.26219922,-0.1826
1432591_at,Pappa,0.63543963,0.1054
1432592_at,8430414N03Rik,0.56270468,0.0856
1432593_at,Kiaa1279,0.65455506,0.058
1432594_at,4933413I22Rik,0.51457562,-0.1262
1432595_at,4933413I22Rik,0.71203469,-0.0774
1432596_at,4930599N24Rik,0.23630094,-0.2454
1432597_at,Ppp3ca,0.9303743,-0.0148
1432598_at,2810049L19Rik,0.93729065,0.0142
1432599_at,2610301H18Rik,0.3787576,-0.1786
1432600_at,Leprel1,0.91099924,0.0208
1432601_at,Mll5,0.38667549,0.3474
1432602_at,Mll5,0.99036893,-0.0026
1432603_at,Nrip1,0.86768298,0.0322
1432604_at,Rbl1,0.82310185,-0.0338
1432605_at,AA990586,0.86392488,0.0318
1432606_at,Nav1,0.87855046,0.0368
1432607_at,2610012C04Rik,0.79241574,-0.062
1432608_at,Nnt,0.64373855,0.0848
1432609_at,2900024J01Rik,0.50277277,-0.1624
1432610_at,2900024J01Rik,0.65007516,-0.0706
1432611_at,4932430A15Rik,0.93755931,-0.0142
1432612_at,LOC378878,0.95761385,-0.0106
1432613_at,E130201N16Rik,0.78799945,0.042
1432614_at,4933417A01Rik,0.75095074,0.0558
1432615_at,Wdr37,0.89809481,0.0202
1432616_at,4833422B07Rik,0.60236338,0.0792
1432617_at,4933424C09Rik,0.75901393,-0.0494
1432618_at,Pard3,0.89857618,-0.023
1432619_at,3110037L02Rik,0.5504387,-0.104
1432620_at,2900073C17Rik,0.55071798,-0.1188
1432621_at,5730410E19Rik,0.97988151,0.0052
1432622_a_at,4930507D05Rik,0.64509665,-0.0622
1432623_at,Supv3l1,0.76902565,-0.0388
1432624_at,5830487K18Rik,0.9513529,-0.012
1432625_at,5830487K18Rik,0.9505364,0.0098
1432626_at,Nr6a1,0.98908982,0.0016
1432627_at,5730507A11Rik,0.86522816,-0.0358
1432628_at,Cbx3,0.82136541,0.0458
1432629_at,Tnks,0.86443421,-0.035
1432630_at,Tnks,0.85662188,-0.0274
1432631_at,1190002C06Rik,0.98422344,0.0034
1432632_at,9430063H18Rik,0.74252196,-0.0536
1432633_at,9430063H18Rik,0.6301414,-0.094
1432634_at,4933429H19Rik,0.32533646,-0.1654
1432635_a_at,Tloc1,0.79638169,0.059
1432636_at,Ovol1,0.85808602,-0.0258
1432637_at,2410018L13Rik,0.972606,-0.0058
1432638_at,Bag5,0.86754841,-0.0226
1432639_at,4633401L03Rik,0.96949213,0.0062
1432640_at,4633401L03Rik,0.56910503,0.0812
1432641_at,AW060207,0.94642792,0.009
1432642_at,BE381593,0.96794775,-0.005
1432643_at,BE381593,0.77091129,-0.0618
1432644_at,6430711C07Rik,0.59916007,0.1016
1432645_at,Lpp2,0.99688325,-0.0008
1432646_a_at,2900097C17Rik,0.28331324,0.4978
1432647_at,Egfr,0.52989176,-0.0974
1432648_at,4930466F19Rik,0.76083572,-0.052
1432649_at,3300002A11Rik,0.70774423,-0.0524
1432650_at,Pxmp4,0.50325164,-0.1238
1432651_at,2510019K15Rik,0.4586653,-0.0958
1432652_at,1700008H02Rik,0.86321913,0.0232
1432653_at,1700008H02Rik,0.43107173,-0.1632
1432654_at,5830426C09Rik,0.92527902,-0.0144
1432655_at,Efna5,0.71750928,-0.0736
1432656_at,3222402N08Rik,0.36886105,-0.1316
1432657_at,Adam1b,0.63408706,-0.0702
1432658_at,2810403D21Rik,0.98002599,-0.0028
1432659_at,4930402H05Rik,0.66435898,0.0518
1432660_at,Fbxw11,0.7184117,-0.0604
1432661_at,0610042E11Rik,0.83548281,-0.0288
1432662_at,Acoxl,0.45790007,0.1444
1432663_at,1500005C15Rik,0.96168053,-0.007
1432664_at,4933404M09Rik,0.95392325,0.0116
1432665_at,Pde4d,0.36732674,-0.1912
1432666_at,2210416J07Rik,0.83229028,-0.0422
1432667_at,2210411G17Rik,0.94423145,0.0154
1432668_at,2210411G17Rik,0.97187557,0.0058
1432669_at,Pcyt1a,0.29237966,-0.2516
1432670_at,9030420N05Rik,0.77842908,0.05
1432671_at,Dnah12,0.72147843,0.0576
1432672_at,Phactr1,0.87700501,0.0228
1432673_at,Epha7,0.61433557,0.196
1432674_at,2300010F08Rik,0.84543101,0.029
1432675_at,4833432B22Rik,0.37631699,0.1586
1432676_at,Gbf1,0.44146985,-0.1204
1432677_at,AK019933,0.49301334,-0.157
1432678_at,Itgav,0.67237456,-0.0734
1432679_at,Nedd4l,0.739247,0.059
1432680_at,Sorbs1,0.19834201,-0.4462
1432681_at,9130009M17Rik,0.73983746,-0.063
1432682_at,5530400K19Rik,0.94814632,-0.0142
1432683_at,Prkag2,0.86551424,0.0268
1432684_at,A430110N23,0.55747342,-0.1146
1432685_at,Mon1b,0.79398702,0.046
1432686_at,Pde4d,0.53012696,-0.0992
1432687_at,4833406M21Rik,0.93075817,0.019
1432688_at,4631422I05Rik,0.89135973,0.0154
1432689_at,4631422I05Rik,0.96546767,0.0092
1432690_at,9030407C09Rik,0.86382129,0.028
1432691_at,9030407C09Rik,0.71867456,0.0604
1432692_at,4930517G19Rik,0.75811549,-0.053
1432693_at,Slc6a6,0.88253735,0.0286
1432694_at,AI449705,0.80228449,-0.0462
1432695_at,AW061290,0.65443402,-0.0702
1432696_at,Ctnna2,0.8675964,0.0374
1432697_at,5830431M20Rik,0.75679959,-0.0458
1432698_at,2900024I21Rik,0.73504623,0.0768
1432699_at,2900024I21Rik,0.88006392,0.027
1432700_at,2810047J09Rik,0.57152357,0.099
1432701_at,2810403G07Rik,0.82969015,0.0314
1432702_at,2810403G07Rik,0.19257364,-0.2026
1432703_at,5730405A17Rik,0.94533843,-0.0108
